itemId	timestamp	address	parentItemId
F7500218	1528501138628	-2376950177983040696	-1
F7501309	1535111921843	-1686734335080013094	-1
F7501404	1531823660648	-7023655600645518972	-1
F7501740	1528854185811	-7023655600645518972	-1
F7501862	1528822946792	-1743798228505193158	-1
F7502864	1529475984098	-1	null
F7502894	1529420765812	8240429773739531826	-1
F7502898	1529476216144	-1	null
F7504694	1528422150420	9096423301671818677	-1
F7505958	1528772195071	5106149975160207938	-1
F7506139	1528895718674	-6373291646473613089	-1
F7511189	1528509952531	-2292084713005523594	-1
F7511200	1539065514433	-5838424063914740714	-1
F7511264	1535112083684	1986543873053567483	-1
F7511265	1535112458678	-8109366442248139516	-1
F7512377	1528253447539	-4770966441840271855	-1
F7514771	1528899664299	-378114927423601818	-1
F7515115	1528752316507	-8608182124092177080	-1
F7515116	1528758134346	-2571823634721508813	-1
F7518537	1529085371836	2070991107496355897	-1
F7518665	1528323888993	4591818761713987449	-1
F7518669	1528839072459	-5655706921459459053	-1
F7519576	1528446812680	-6073876375101542463	-1
F7520352	1529346858832	8721004544596209723	-1
F7522052	1528425754040	-6353912313050864570	-1
F7522108	1535497428774	-2956353988975089002	-1
F7522109	1537203515952	-3939564973941109987	null
F7523417	1535113028084	-1	null
F7532165	1529156204269	5106149975160207938	-1
F7532167	1531806482893	-1	null
F7532498	1529326696670	-1743798228505193158	-1
F7533727	1528994079421	6629077505579689371	-1
F7535213	1529946626591	-6196490120761152012	-1
F7555751	1531567166597	-3170424921640195624	-1
F7558197	1532084063660	8375791865885302222	-1
F7562670	1532064986080	-8659618098816896344	-1
F7562672	1535375506010	5145455859265190007	-1
F7562674	1539065572634	-6839457255205579992	-1
F7565657	1532394054644	-9100101032468893356	-1
F7565918	1532384254539	-8885228872844903850	-1
F7567233	1535532520323	-6247115560087393137	-1
F7570649	1531385113869	4136998895017491547	-1
F7571210	1531413785096	9096423301671818677	-1
F7574152	1535411206390	897836185907794843	-1
F7576843	1531379900828	4646720082062120060	-1
F7579992	1535321332278	7513026853722809445	-1
F7580969	1539065449459	6684733276283289621	-1
F7588842	1539065709146	5584577939061494859	-1
F7588846	1539065680544	8375791865885302222	-1
F7588855	1532640841118	4923569006891484176	-1
F7593752	1532640943497	-1	null
F7594488	1532464435777	6629077505579689371	-1
F7594685	1535426055173	-6975491984682628175	-1
F7599247	1535610583231	8340916699343541634	-1
F7606172	1535448202092	-8002497277633387254	-1
F7606173	1535365887098	2070991107496355897	-1
F7606309	1535112266949	1384569051694241367	-1
F7607107	1535572953430	3407280054864427282	-1
F7607378	1535455518230	3120576392541315323	-1
F7608341	1535112484809	3172077060303304809	-1
F7615321	1535365761577	4097561104246144622	-1
F7619494	1535375635707	-6073876375101542463	-1
F7624427	1535375297132	-3770829663595083693	-1
F7624901	1535375346528	-7483239427806795846	-1
